Metric,Description,Approach,Comments
Adversarial example success rate,Evasion under adversarial perturbations,(# attacks causing misbehaviour ÷ # adversarial attempts) × 100,Scope to relevant modalities
API abuse rate,Suspicious/abusive calls to AI APIs,(# abusive/suspicious requests ÷ # total requests) × 100,Use anomaly detection and auth telemetry
Audit evidence coverage,Availability of evidence for control tests,(# controls with sufficient evidence ÷ # controls tested) × 100,Aim ≥ 95%; sample evidence quality
Availability (SLA),Uptime of AI service,((Total time − downtime) ÷ total time) × 100,Report monthly and quarterly
Bias mitigation effectiveness,Impact of mitigation tactics,(Pre-mitigation disparity − post-mitigation disparity) ÷ pre-mitigation disparity,Report utility trade-offs
Calibration error,Mismatch between confidence and accuracy,Expected Calibration Error (ECE) or Brier score,Lower is better; report per-group too
Calibration parity,Variation in calibration across groups,max(ECE_group) − min(ECE_group),Monitor over time for drift
Change management lead time,Time from approval to production,Median days from change approval to deployment,Track by risk level; aim for predictability
Code review coverage,Peer review of ML/AI code and prompts,(# merged changes with review approval ÷ # merged changes) × 100,Include prompt/config changes
Concept drift alerts,Frequency of target/label relationship changes,Count of drift alerts triggered in period,Validate with performance drops
Consent capture rate,Valid consent captured for AI use,(# interactions with valid consent on record ÷ # interactions requiring consent) × 100,Per jurisdiction; include consent version
Content provenance labelling coverage,Labelling of AI-generated content per policy,(# AI outputs with provenance labels ÷ # AI outputs requiring labels) × 100,"E.g., watermarks, C2PA tags"
Copyright notice rate,External copyright/takedown notices received,"(# notices ÷ # outputs, e.g., per 10k)",Investigate root causes; legal review
Data drift magnitude (PSI),Shift in input feature distributions,Population Stability Index per feature; report max/mean PSI,"Thresholds: 0.1 caution, 0.25 significant"
Data minimisation ratio,How lean the collected data is vs. used,(# features used in production ÷ # features collected) × 100,Lower is better; track removal of unused features
Data provenance coverage,Datasets with documented source/license/date,(# datasets with complete provenance ÷ # datasets used) × 100,Include model assets and prompts when applicable
Data retention adherence,Adherence to retention/deletion schedules,(# datasets conforming to schedule ÷ # datasets in scope) × 100,Include training artifacts and logs
